Key,title,headline_length,article_word_count,author,publisher,publisher_country,publisher_type,published_date,collection_date,link,full_text,source_type,keyword_trigger
2000,Latest News & Updates,21,29,Unknown,BBC,UK,Public Broadcaster,Unknown,2026-03-14,https://www.bbc.com/news/world/middle_east,"Americans on Iran strikes: 'What if this turns into a forever war?'

Six US voters tell the BBC how they feel about the major US military intervention in Iran.",ARCHIVE,middle east
2001,"6 killed in U.S. refueling plane crash; Iran's new supreme leader 'likely disfigured,' Hegseth says",99,161,"Nbc News, Freddie Clayton, Https, Media-Cldnry.S-Nbcnews.Com Image Upload Newscms, Jane Lytvynenko, Frank Matt, The Associated Press, Media-Cldnry.S-Nbcnews.Com Image Upload Newscms Ap-Live-Blog-Byline-Image.Png, Max Butterworth, Gordon Lubold",NBC News,US,Broadcast Network,Unknown,2026-03-14,https://www.nbcnews.com/world/iran/live-blog/live-updates-iran-war-trump-threat-oil-refueling-plane-israel-gulf-rcna263302,"An Iranian politician said today that Ukraine is a ""legitimate and lawful target"" after the European nation offered to provide support with drone warfare.

Ukrainian President Volodymyr Zelenskyy said last week that the U.S. had turned to it for help on anti-drone defenses, tapping into Ukraine’s years of experience combating the Iran-designed Shahed drones deployed by Russia.

“We received a ⁠request from the United States for specific support in protection against ‘Shaheds’ in ​the Middle East region,” Zelenskyy wrote on X. “I gave instructions to provide the necessary means and ensure the presence of Ukrainian specialists who can guarantee the required security.”

Ukraine's assistance to Israel with drone support ""makes the entire territory of Ukraine, based on Article 51 of the UN Charter, a legitimate and lawful target for Iran,” Ebrahim Azizi, head of Iran's National Security Commission, said on X. The comments are in line with Iran's threats to other European powers seen to have helped the U.S. or Israel.",ARCHIVE,iran
2002,Middle East News,16,26,Unknown,Al Jazeera,Qatar,International Network,Unknown,2026-03-14,https://www.aljazeera.com/middle-east/,"The Iranian moment: A leap into the unknown

In the past century, Iran has undergone two major transformations. A third seems to be on its way.",ARCHIVE,middle east
2003,"Israeli settlers shoot Palestinians in West Bank villages, steal livestock",74,497,Al Jazeera Staff,Al Jazeera,Qatar,International Network,2026-03-14,2026-03-14,https://www.aljazeera.com/news/2026/3/14/israeli-settlers-shoot-palestinians-in-west-bank-villages-steal-livestock,"One Palestinian reported killed in Qusra, as others injured in Rashayda, amid surge in Israeli settler violence.

Israeli settlers have attacked two villages in the occupied West Bank, causing casualties among the Palestinian residents, according to local officials.

Hani Odeh, the mayor of Qusra village in Nablus governorate, told the AFP news agency that Israeli settlers shot dead a Palestinian man, 28-year-old Amir Moatasem Odeh, on Saturday. Two other residents were injured.

There was also an assault on the area of Rashayda, east of Bethlehem, on Saturday, with the local mayor describing settler violence as a near-daily reality for residents.

Palestinian news agency Wafa said a group of settlers attacked in the area of Rashayda, near the village of Kisan, “firing live ammunition”.

Musa Abayat, the mayor of Rashayda, told AFP that five Palestinians were injured in the assault, including two with gunshot wounds.

Beyond those shot, three other Palestinians were beaten with sharp objects or struck by stones, with the injured taken to hospital. More than 100 sheep were also seized.

“Daily attacks” by settlers, Abayat said, had become a feature of life in the area.

The Israeli military acknowledged a “violent confrontation” had taken place involving Israeli civilians who discharged their weapons toward Palestinians. One Israeli civilian was wounded, the military told AFP, adding that two Israeli civilians had been detained alongside three Palestinians.

The attack was the latest in a run of violence that had already left its mark on the same village.

A day earlier, settlers burned down a poultry barn belonging to a local Palestinian farmer, completely destroying it, according Wafa.

Advertisement

Elsewhere in the West Bank on Saturday, Wafa reported that Israeli forces shot a 43-year-old Palestinian man, Ahmad Khalil Saleh, at the Beit Iksa checkpoint northwest of Jerusalem. Soldiers also severely beat his 20-year-old son at the same location, according to local sources cited by the agency.

At least five Palestinians have been killed in the West Bank since the start of March, according to Palestinian authorities and the United Nations, part of a broader surge in violence that has accompanied Israel’s war on Gaza.

Israeli troops or settlers have killed more than 1,045 Palestinians in the West Bank since October 7, 2023, according to an AFP tally of Palestinian health ministry figures.

That violence has unfolded largely without legal consequence.

Israeli rights group Yesh Din found that more than nine in 10 investigations into ideologically-motivated offences by Israelis against Palestinians in the West Bank ended without indictment, a pattern the group describes not as negligence, but deliberate policy.

A sweeping UN report found that of more than 1,500 Palestinians killed between 2017 and September 2025, Israeli authorities secured just one conviction.

The UN human rights chief Volker Turk has described conditions in the West Bank as resembling apartheid, condemning what he called the “systematic asphyxiation” of Palestinian rights under two distinct bodies of law, one for settlers, another for Palestinians, across territory home to more than three million people.",ARCHIVE,israel
2004,Trump says ‘many countries’ will send warships to Hormuz amid Iran blockade,75,887,Faisal Ali,Al Jazeera,Qatar,International Network,2026-03-14,2026-03-14,https://www.aljazeera.com/news/2026/3/14/trump-says-many-countries-will-send-warships-to-hormuz-amid-iran-blockade,"US president urges naval coalition as Iran says Strait of Hormuz closed to ‘tankers and ships of enemies’ during war.

United States President Donald Trump has said “many countries” will dispatch warships to keep the Strait of Hormuz open, without offering details about which states are on board.

This comes as the waterway that carries a fifth of global oil and liquefied natural gas remains effectively closed on the 15th day of the US and Israel’s war on Iran.

Writing on Truth Social on Saturday, Trump said nations, “especially those affected by Iran’s attempted closure” of the strait, would be sending warships “in conjunction with the United States of America, to keep the Strait open and safe,” naming China, France, Japan, South Korea and the United Kingdom among those he hoped would contribute.

In the post, Trump asserted that the US had “already destroyed 100% of Iran’s Military capability,” while conceding in the same breath that Tehran could still “send a drone or two, drop a mine, or deliver a close range missile” along the waterway.

He pledged that in the meantime, the US would be “bombing the hell out of the shoreline, and continually shooting Iranian Boats and Ships out of the water,” promising to get the strait “OPEN, SAFE, and FREE.”

In response, Alireza Tangsiri, the navy chief of Iran’s Islamic Revolutionary Guard Corps (IRGC) said, “The Strait of Hormuz has not yet been militarily closed and is merely under control.”

In a post on X, he hit back against Trump’s comments, saying, “Americans falsely claimed the destruction of Iran’s navy. Then they falsely claimed the escorting of oil tankers. Now they’re even asking others for backup forces.”

In a follow-up post on Truth Social, Trump said, “The Countries of the World that receive Oil through the Hormuz Strait must take care of that passage, and we will help — A LOT!”

Advertisement

He said the US would “coordinate with those Countries so that everything goes quickly, smoothly, and well,” calling it a “team effort”.

‘No American ship’

Last week, US Energy Secretary Chris Wright told US news outlet CNBC that the US was not ready to do escorts for ships through the strait itself.

Iran’s Foreign Minister Abbas Araghchi clarified that the strait was only closed to “tankers and ships of enemies and their allies,” not all shipping, while Mohsen Rezaee, a member of Iran’s Expediency Discernment Council, an influential body close to the supreme leader, said, “No American ship has the right to enter the Gulf.”

Two Indian-flagged tankers carrying liquefied petroleum gas crossed the strait safely on Saturday morning, Rajesh Kumar Sinha, special secretary of India’s Ministry of Ports, Shipping and Waterways, said.

Iran’s ambassador to India, Mohammad Fathali, confirmed that Tehran had granted Indian vessels a rare exemption, the result of direct talks between Prime Minister Narendra Modi and Iranian President Masoud Pezeshkian on Thursday.

A Turkish-owned vessel was similarly allowed through earlier this week after Ankara negotiated passage directly with Tehran, with 14 more Turkish vessels still awaiting clearance.

The US is reinforcing its presence in the region, with some 2,500 Marines and the USS Tripoli amphibious assault ship en route to the Middle East following a request by CENTCOM approved by Defense Secretary Pete Hegseth.

Al Jazeera’s Kimberly Halkett, reporting from the White House, said Iran’s most powerful remaining weapon was not military but economic, adding that the threat of damage alone to US ships is paralysing the strait and the goods that flow through it.

“That is why we see the US president suggesting this coalition needs to be broadened,” Halkett said.

‘Millions’ at risk

The closure is also threatening global food security, according to the Center for Strategic and International Studies.

The strait is a critical conduit for LNG exports, the primary feedstock for the nitrogen-based fertilisers used to grow the staple grains and cereals that provide more than 40 percent of global caloric intake.

India, facing a critical cooking gas shortage, has invoked emergency powers to protect 333 million LPG-dependent homes.

UN humanitarian chief Tom Fletcher has warned that “millions of people are at risk” if humanitarian cargo cannot pass safely through the strait.

Hegseth dismissed suggestions that the Pentagon had been caught off guard by the strait’s closure on Saturday. “We have been dealing with it, and don’t need to worry about it,” he said.

Advertisement

At least 1,444 people have been killed in Iran since the war began on February 28, with Lebanon’s death toll also mounting and Gulf states facing sustained drone and missile fire.

Andreas Krieg of King’s College London’s School of Security Studies described Trump’s coalition call to Al Jazeera as “a desperate move in an information campaign to calm markets.” Krieg said there was no quick military solution to reopening the strait, as all Iran needed to do was strike occasionally to keep insurers away.

“It doesn’t seem like they had a plan for the Strait of Hormuz to be closed, and it seems like a desperate move in an information campaign to calm markets and that something magical will happen to open the straits short of actually engaging with the Iranian regime,” he said.

Sending naval vessels without a diplomatic agreement, he said, would only expose “very, very expensive military vessels to very cheap but potentially very effective projectiles”.",ARCHIVE,iran
2005,The Iranian moment: A leap into the unknown,43,1078,Mahjoob Zweiri,Al Jazeera,Qatar,International Network,2026-03-14,2026-03-14,https://www.aljazeera.com/opinions/2026/3/14/the-iranian-moment-a-leap-into-the-unknown,"In the past century, Iran has undergone two major transformations. A third seems to be on its way.

Since the 1920s, Iran has lived through two defining political moments that have reflected two distinct civilisational identities. They have shaped not only the country’s internal character but also its relationship with the wider world.

Today, with the Islamic republic under unprecedented strain, a third Iranian moment may be approaching.

Modernity on the shah’s terms

The first Iranian moment was the reign of the Pahlavi monarchy, which began in 1925 with Reza Khan Pahlavi, an army officer, being instated to the throne and ended in 1979 with the outbreak of the Iranian Revolution. It was built around a particular vision of Iran: secular, modernising, and firmly anchored in the dominion of the Western-led camp during the Cold War.

Tehran recognised Israel after it was created in 1948, supplied oil to Western markets, and served as Washington’s chosen guardian of the Gulf. The shah projected power across a region fraught with ethnic and sectarian rivalries, leading a country that posed a challenge to its Arab neighbours, but also served as a model of state-driven development.

Central to the Pahlavi project was a deliberate attempt to anchor the monarchy’s legitimacy not in Islam, but in the Persian imperial past. Mohammad Reza Shah Pahlavi consciously linked his rule to the ancient Achaemenid Empire — the dynasty of Cyrus and Darius that forged the first great Persian civilisation in the fifth century BC.

The grandiose celebrations of 1971 at the ruins of the ancient capital of Persepolis, marking 2,500 years of Persian monarchy, were the most theatrical expression of this claim: a declaration that the Pahlavi throne was not a modern construction but the inheritor of an unbroken imperial tradition. In doing so, the shah sought to place himself above religion — a king of kings in a lineage older than Islam itself.

Advertisement

Yet beneath the surface of modernisation and imperial grandeur, the monarch was nakedly authoritarian. SAVAK, the feared secret police, was synonymous with torture and repression. When the mass protests of 1978 and 1979 erupted, every geopolitical partnership the shah had cultivated proved worthless.

No foreign ally moved a muscle to save him. A monarch that had prioritised strategic utility over popular legitimacy found himself entirely alone. The first Iranian moment ended not with a war, but with a revolution — and the lesson went unlearned by those who followed.

The Islamic republic

From the ashes of the shah’s rule emerged something genuinely novel: the Islamic Republic of Iran, founded under Ayatollah Ruhollah Khomeini’s doctrine of velayat-e faqih — the guardianship of the Islamic jurist. It became only the second Shia state since the Safavid Empire (1501-1736), which had itself made Twelver Shiism Iran’s defining identity.

The new republic was built on the premise that Islamic principles should govern not just religious life, but also politics, economics and even social life. The public sphere was to be controlled, morality enforced, and Iran’s cultural identity explicitly de-Westernised.

Where the Pahlavis had embraced the United States and Israel, the Islamic republic constructed its identity in explicit opposition to both. Its foreign policy became defined by resistance: support for Hezbollah in Lebanon, Hamas in Gaza, the Houthis in Yemen, and Shia militias across Iraq and Syria — a web of proxies Tehran called the “axis of resistance”. This eventually caused the ongoing crisis in Iran’s neighbourhood.

In terms of economic governance, the regime looked eastwards, aspiring to a model not unlike China’s: authoritarian in politics, state-directed in economics, independent of Western institutions.

That independence came at an enormous price. More than 3,600 different sanctions have been imposed on the republic — a cumulative siege that devastated the lives of ordinary Iranians. The decline of the regional influence of Iran emerged following two major shocking events: the Arab Spring, which raised questions about the credibility of Iran’s claim of defending the oppressed, and the October 7 attacks, which set up Iran as a potential military target for Israel.

Three major armed conflicts scarred its existence: the Iran-Iraq War of 1980–1988, in which hundreds of thousands died; the 12-day war involving Israel and the United States in June 2025; and the ongoing conflict beginning on February 28.

Advertisement

Each war deepened the siege mentality at the core of the regime’s identity — the conviction that today’s Iran is perpetually encircled and its very survival is under threat.

Moment of precarity

One can understand, in retrospect, how the first moment ended. The Pahlavi monarchy lost its domestic legitimacy, and its foreign patrons looked away. The revolution followed. But the trajectory of the second Iranian moment is far less clear — and that opacity is itself a source of regional and global anxiety.

The Islamic republic today is neither the confident revolutionary power it was in the 1980s, nor a stable religious state capable of indefinitely managing its contradictions. Mass protests over the past two decades have raised social, economic and political questions about the nature of the social contract that the Islamic republic offers.

Simultaneously, its regional influence is declining, its nuclear programme has brought about direct military confrontation, and its economy – devastated by sanctions and endemic corruption – cannot deliver the prosperity needed to buy popular acquiescence.

There are several scenarios for what happens next. The regime could survive in its current form. A reformed Islamic republic might retain its Shia theological identity, while abandoning its most confrontational postures, though such a transition would require a political class willing to negotiate, and an opposition capable of receiving and holding onto power responsibly; neither condition is clearly present.

There is also a more turbulent scenario: fragmentation, civil conflict and a power vacuum. This cannot be ruled out in a country that encompasses Persians, Azeris, Kurds, Arabs, and Baluchis, held together increasingly by coercion alone.

Iran’s next chapter will not be written by foreign powers alone, or by the clerical establishment alone, or by the protest movement alone. It will emerge from the collision of all these forces — internal and external, historical and immediate.

This new Iranian moment is a leap into the unknown: for Iranians most of all, but also for the region and the world that will feel its consequences. Precarious and perplexed, Iran stands at the edge. What lies beyond remains to be seen.

The views expressed in this article are the author’s own and do not necessarily reflect Al Jazeera’s editorial stance.",ARCHIVE,iran
2006,"Israel bombs Basij checkpoints in Tehran as US, Iran trade fire and jabs",72,958,Unknown,Al Jazeera,Qatar,International Network,2026-03-14,2026-03-14,https://www.aljazeera.com/news/2026/3/14/israel-bombs-basij-checkpoints-in-tehran-as-us-iran-trade-fire-and-jabs,"The Israeli military has been pursuing a new war tactic in targeting checkpoints set up in the Iranian capital by the paramilitary Basij force as the Islamic Revolutionary Guard Corps (IRGC) and the United States launch more attacks.

The heavily armed checkpoints, roadblocks and patrols have been ramping up in Tehran and across the country in the aftermath of thousands being killed during January’s nationwide protests, and particularly since the start of the ongoing war over two weeks ago.

IRGC-affiliated media confirmed that drone strikes have been hitting the heavily armed checkpoints since Wednesday night, killing and wounding a number of Basij members.

A funeral was held on Friday in the province of Semnan for Morteza Darbari, who was described by the IRGC-linked Tasnim news agency as the commander of a local Basij force based in a mosque in Tehran. He was killed while commanding an armed checkpoint in southeastern District 15.

Footage from the funeral of another killed member, Mohammad-Hossein Kouchaki, was aired by state media on Saturday, showing his family members, surrounded by his fellow Basij fighters armed with assault rifles, promising revenge.

“Both those [dissidents] inside and outside the country, their fate is clear, we will slay them all,” said Kouchaki’s mother at the event. “We will give martyrs on our path but will not bow down. No compromise, no surrender, battle until victory, sacrifice for Mojtaba Khamenei”.

Kouchaki was reported to have been killed in a drone strike in northeastern Tehran, for which the Israeli army confirmed responsibility by releasing footage. The site of the attack was close to where a major fuel depot was bombed days earlier amid wider Israeli attacks hitting Iranian oil reserves.

Advertisement

The state-run Fars news agency said checkpoints have also been similarly targeted in multiple other districts of the sprawling city, and that state forces are responding through “new and creative plans” to adapt to the strikes, and by increasing their patrols.

Intelligence ‘from Iranians’

According to unnamed sources cited by multiple Western news outlets, Israeli commanders have partly acted based on intelligence sent to them by Iranians who have been filming the roadblocks and sending messages through social media.

Videos coming out of Iran continue to be circulated on social media, despite a near-total internet shutdown now being imposed by the theocratic establishment for a 16th day, which has created a black market for the few proxy connections to the outside world that still work.

The state had also imposed a 20-day total internet blackout in response to the protests in January, meaning that more than 90 million Iranians have now spent more than a third of 2026 without access to the global internet. Satellite television dishes found in most homes are the only other alternatives to state media, but those have been disrupted with jamming signals by the authorities, as well.

Through state media, the political, military and judicial authorities of the Islamic Republic have been issuing threats of reprisal against any form of dissent, which could be construed as functioning in line with the interests of the US and Israel.

The police chief, an IRGC commander and state television hosts have all emphasised over the past week that people who take to the streets against the establishment will be treated as an “enemy”.

The judiciary announced on Saturday that any “rioters” who are arrested while acting against the establishment will have their assets confiscated in order to “compensate a part of the damages suffered during the war” with the US and Israel. Multiple people have already been arrested for trying to film missile impact sites and roadblocks, with authorities continuing to promise strict punishments.

This comes days after the judiciary said Iranians living outside the country will also have their assets confiscated if they engage in anti-establishment activities like participating in rallies calling for the return of Reza Pahlavi, the son of Iran’s US-backed shah, who was overthrown in a 1979 Islamic revolution.

War could drag on for weeks

Pahlavi released a video message on Saturday to say that he has a team in place for a “transition period” away from the Islamic Republic.

Advertisement

In lockstep with US President Donald Trump and Israeli Prime Minister Benjamin Netanyahu, he has called on Iranians to remain vigilant in their homes until a suitable time arrives to take to the streets.

The Israeli military has also characterised its strikes on the roadblocks in Tehran, as well as numerous Basij, IRGC and police bases across the country, as an attempt to weaken Iranian authorities’ domestic security apparatus.

“These forces led the regime’s primary efforts to suppress internal protests, particularly in recent months, employing severe violence, ‌mass ⁠arrests, and the use of force against civilian demonstrators,” the military said last week.

Speaking on Fox News Radio on Friday, Trump said the establishment in Iran will eventually fall, but “maybe not immediately”.

“They literally have people in the streets with machinegun, machine-gunning people down if they want to protest,” Trump claimed, referring to Iran’s state security forces.

“That’s a pretty big hurdle to climb for people that don’t have weapons,” he said about anti-establishment Iranians, adding that the military strikes will continue.

Both sides of the conflict have said the war could drag on for weeks, with Iranian officials saying there are no prospects for negotiations.

A senior spokesperson for Iranian armed forces claimed in a statement carried by state media on Saturday that the USS Abraham Lincoln supercarrier has been “taken out of commission and taken away from the region after sustaining serious damage”.

“If regional countries do not trust in the fake power of the US, American forces will be forced to leave the region because they can’t even defend their own forces and bases,” said Abolfazl Shekarchi.",ARCHIVE,iran
2007,Three more Iran football team members change minds over asylum,62,51,Unknown,BBC,UK,Public Broadcaster,2026-03-14,2026-03-14,https://www.bbc.com/news/articles/c98gz372683o?at_medium=RSS&at_campaign=rss,"Zahra Soltan Meshkehkar, a member of the team's technical staff, was one of two more women from the group to seek asylum the next day. The other – Mohaddeseh Zolfi – changed her mind hours after being given the right to stay. She is understood to have already rejoined the team.",RSS,iran
2008,Hamas urges key ally Iran to halt attacks on Gulf states,56,27,Unknown,BBC,UK,Public Broadcaster,2026-03-14,2026-03-14,https://www.bbc.com/news/articles/cvg3xk6xgyzo?at_medium=RSS&at_campaign=rss,"At the same time, Hamas, which runs Gaza, affirmed Tehran's right to defend itself against attacks by the US and Israel, which are continuing to strike Iran.",RSS,iran
2009,"More US Marines and warships being moved to Middle East, reports say",68,43,Unknown,BBC,UK,Public Broadcaster,2026-03-14,2026-03-14,https://www.bbc.com/news/articles/cq8gj9n12g8o?at_medium=RSS&at_campaign=rss,"The Wall Street Journal, which first reported the movement of US personnel, also reported that the request for reinforcements was made by US Central Command, the part of the US military responsible for the Middle East, and approved by Defence Secretary Pete Hegseth.",RSS,middle east
